================================================================================
    EXHAUSTIVE SYSTEM SENSOR LOG (GLOBAL DISCOVERY)
    Date: Sunday 5 April, 2026
================================================================================

SECTION 1: IOREPORT CHANNELS (Power, Frequency, Residency)
--------------------------------------------------------------------------------
Group: Energy Model    | Channel: ECPU0                          | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPU1                          | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPU2                          | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPU3                          | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPU0                          | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPU1                          | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPU2                          | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPU3                          | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPM                           | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPM                           | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPU0_SRAM                     | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPU1_SRAM                     | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPU2_SRAM                     | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPU3_SRAM                     | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPU0_SRAM                     | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPU1_SRAM                     | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPU2_SRAM                     | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPU3_SRAM                     | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPM_SRAM                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPM_SRAM                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPU                           | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPU                           | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: CPU Energy                     | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPUDTL00                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPUDTL01                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPUDTL02                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPUDTL03                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPUDTL04                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPUDTL05                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPUDTL06                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPUDTL10                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPUDTL11                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPUDTL12                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPUDTL13                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPUDTL14                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPUDTL15                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPUDTL16                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPUDTL20                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPUDTL21                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPUDTL22                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPUDTL23                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPUDTL24                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPUDTL25                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPUDTL26                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPUDTL30                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPUDTL31                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPUDTL32                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPUDTL33                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPUDTL34                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPUDTL35                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ECPUDTL36                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL00                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL01                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL02                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL03                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL04                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL05                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL06                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL07                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL08                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL09                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL0a                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL0b                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL0c                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL0d                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL0e                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL0f                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL010                     | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL10                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL11                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL12                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL13                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL14                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL15                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL16                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL17                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL18                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL19                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL1a                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL1b                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL1c                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL1d                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL1e                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL1f                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL110                     | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL20                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL21                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL22                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL23                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL24                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL25                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL26                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL27                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL28                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL29                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL2a                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL2b                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL2c                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL2d                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL2e                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL2f                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL210                     | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL30                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL31                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL32                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL33                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL34                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL35                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL36                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL37                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL38                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL39                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL3a                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL3b                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL3c                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL3d                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL3e                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL3f                      | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: PCPUDTL310                     | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: GPU                            | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: GPU SRAM                       | Value: -9223372036854775808 mJ
Group: Energy Model    | Channel: ANE                            | Value: -9223372036854775808 mJ
